Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
201,3,0,3,0,1, money getting taller and bitches getting blurry
202,3,1,2,0,1, i aint never seen a bitch so obsessed with they nigga im obsessed with mine 
203,3,0,2,1,1, kobe stay talking trash but lets not forget i meant to do this one smh
204,3,2,1,0,0, at least im not a nigger 
205,3,0,3,0,1, people always asking me what im mixed with she a bad asian bitch lol
206,3,2,1,0,0, ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
207,3,0,1,2,2, fosters home for imaginary trash whoa chillthat show was everything tf
208,6,0,5,1,1, i am lowkey tired if you tired be quiet and go to sleep hoe
209,3,0,3,0,1, stop bring weird niggers into my mentions 
210,3,0,3,0,1, we dont love these hoes 
211,3,0,3,0,1, if yo girl cant have homeboys you a ol weak bitch ass nigga
212,3,0,3,0,1, i think worst advice i gave you was dont be a pussy and speed up lol
213,3,0,3,0,1, quote this tweet with your favorite animalpussy
214,3,0,3,0,1, i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper
215,3,0,3,0,1, andrewbryant poff has double vision after 2 beerspoff double pussy smh
216,3,0,3,0,1, when bitches twerk on the computerme in ya in ya damn 
217,3,0,3,0,1, prince this is art nobody takin his bitch
218,3,0,1,2,2, 61 of welfaregovernment aid is claimed by white people so yall black slander is trash now
219,3,0,3,0,1, these bitches dont care they just play that role
220,6,0,6,0,1, it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro
221,6,3,2,1,0, drakes new shoes that will be released by nikejordan yes theres glitter on the shoes dudes a fag
222,3,0,1,2,2, inna di ghetto you alone lmaoo
223,3,0,1,2,2, hoes austin teach us austini teach u how to get curved thats all i know
224,3,1,2,0,1, bitches cant cook but know how to suck dick so to the ones that can do both
225,3,0,3,0,1, fat hoes get chose lol
226,3,0,3,0,1, well theyre hoesno one expects them to be loyal
227,3,0,3,0,1, ol bitch ass 
228,3,1,2,0,1, bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
229,3,0,3,0,1, just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
230,3,0,3,0,1, holy shit freddie highmore was in charlie and the chocolate factoryme rolls on the floor laughing
231,3,1,2,0,1, i dont want to have sex with my gf because i feel like im using her anonymous whata faggot
232,3,0,3,0,1, one of your followers with this somebody bitch if you dont
233,3,0,3,0,1, if ya bitch always bitching clearly she care or just an annoying bitch
234,3,0,3,0,1, these catfish hoes thinkin they slick but niggas catching on 
235,3,0,3,0,1, cant worry about a bitch that aint worried bout me real
236,3,0,3,0,1, side hoes are for insecure niggas that cant handle a real one
237,3,0,3,0,1, lmao this bitch come scooting in the tent like she about to fuck some shit up 
238,3,0,3,0,1, my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 
239,3,0,3,0,1, im hungry but ionn wanna spend my money on foodbroke hoe problems 
240,6,0,6,0,1, dese hoes be lyin to all of us nigga
241,3,0,3,0,1, oh yeah fuck that bitch
242,3,0,1,2,2, eli manning just threw his nflleading 27th interception of the season lmao trash
243,3,0,1,2,2, usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team hes a bitch
244,3,0,3,0,1, guess what i also have zero time for your mansplaing adios stfu pussy
245,3,0,1,2,2, chilling sexy scally lad
246,3,0,3,0,1, i aint sharing no bitch if you mines you mines 
247,3,0,3,0,1, money only impress the simple broke bitches
248,3,0,2,1,1, will never be anybodys bitch they dont let people control or change them rigghhht
250,3,0,1,2,2, tuku ho idk blah blah blah 
251,3,0,1,2,2, im not mad cuh ha suure tuku ho ita 
252,3,0,3,0,1, these hoes is crazy
253,3,0,3,0,1, you aint ever gonna be a slice bitch kevin hart 
254,3,0,3,0,1, oomf so fuckin fine tho dam her dont be no bitch
255,3,1,2,0,1, i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
256,3,0,3,0,1, newsatquestionsyeah bitch yeah bitch call me a maybeb steveoc laterd jesse pinkman
257,3,0,3,0,1, hickies in between her thighs right by her pussy its only right
258,3,0,3,0,1, would you still love me when im no longer young and beautiful no ugly monkey ass
259,3,1,2,0,1, yall come through the frontbitch i aint coming
260,3,1,2,0,1, faggot bitch 
261,3,0,3,0,1, yea im on my ipad i dont work this friday lets ball this faggot up work 25
262,3,0,1,2,2, this scally lad would get it
263,3,2,1,0,0, halloween was yesterday stupid nigger
264,3,0,2,1,1, chrus still supahot tho walks up to teacher with test drops test in that bitch fohead 
265,3,0,3,0,1, i love eating pussy lol i never get full lol i can eat that shit forever lol and ever
266,3,0,3,0,1, no slushes hoes nasty anyway famthem hoes taste like meds
267,3,0,2,1,1, no slushes hoes nasty anyway fam
268,3,1,2,0,1, bobby bitchby be getting me live as fuck hell yea i play that hoe before my workout
269,3,0,3,0,1, yo bitch is gucci mane my bitch a stoner 
270,3,0,3,0,1, i can ride your bitch with no handle bars
271,3,0,3,0,1, and if you aint a hoe get up out my traphoussseee
272,3,0,0,3,2, 15 sad tv character deaths were still bitter over stark was the man
273,3,0,3,0,1, these harbor bitches are all party bus hoes lol all
274,3,0,3,0,1, pussy love it
275,3,0,3,0,1, ultraviolence video its coming you little bitch lana del rey bitchy promo
276,3,0,3,0,1, on my way to fuck your bitch kittycopter
277,3,0,0,3,2, a smuggler explains how he helped fighters along the jihadi highway 
278,3,0,3,0,1, aww their avis look so cute together do i gotta get ike avi on this bitch 
279,3,0,3,0,1, its simple dont be a hoedont worry about being exposed fight mewhy 
280,3,0,3,0,1, whys this bitch boosting herself size isnt exactly the most healthy tho
281,3,0,3,0,1, bet not be no bitches kim bye
283,3,0,3,0,1, damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
284,3,0,3,0,1, im making marack my girlfriend aye b you pullin hoes just like o taught you
285,3,1,2,0,1, bruno fag boy you love me
286,3,0,3,0,1, i must be a bitch you are sike naw this why we always beefing 
287,3,0,0,3,2, down 61 look to rally in the bottom of the 9th rallycap
288,3,0,3,0,1, dont take advantage of a nice person hoes everyjuan
289,3,1,2,0,1, happy birthday bitch nigga thanks pal
290,3,0,3,0,1, sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday
291,3,0,3,0,1, cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
292,3,0,3,0,1, ewww i said that last sundayas in the last sunday i was there read it again nigs
293,4,1,3,0,1, i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
294,3,0,3,0,1, my pussy still fresh something stank girls say
295,4,0,4,0,1, ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week
296,3,0,3,0,1, yeah texans are so much better you fucking retard i see that youre mad about this
297,3,1,2,0,1, nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackmilds out here
298,4,0,4,0,1, theres a lane some bitches need to stay in the left n get right the fuck outta our face 
299,3,0,3,0,1, i hate when boys deny that they have bitches smh
300,3,1,2,0,1, ya nigs out there still saying yall dont eat butt with a straight face
301,3,0,3,0,1, im a boss ass bitch that needs to sit in a corner
302,3,0,3,0,1, hes a hoe i cant
304,3,0,3,0,1, me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets
305,6,0,6,0,1, bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 
306,3,1,2,0,1, why do my friends hate me because you a ratchet hoe
307,3,1,2,0,1, no love for these fuck niggas hoes
308,3,0,3,0,1, hot meat sexy as fuck scally lad i would love to meet him and his trainers
309,3,0,3,0,1, sniff perved up scally lad fuck yeah
310,3,0,3,0,1, these bitches love sosa
311,4,0,3,1,1, i legit watched it for about 30 or 40 seconds so did i wtf prob cause were retarded smh
312,3,0,3,0,1, what should i name my cat ideas mr pussy
313,3,0,2,1,1, woof woof sexy thug boy scally
314,3,0,3,0,1, u see the damn phone ring when you married bitches makes demands you havent called me
315,3,0,3,0,1, tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe
316,3,0,3,0,1, 10 sex positions this what u call fucking the soul outta bitch 
317,3,2,1,0,0, is bored supposed to be cute you faggot sometimes
318,3,0,0,3,2, one mans trash is another mans treasure 
319,3,0,3,0,1, i dont got no type bad bitches is the only thing i like iongotnotype
320,3,2,1,0,0, lassen cc the coach wants me i feel it youll get more my nig no doubt
321,3,0,3,0,1, god teeth gold chainwhite bitches cocaine
322,3,1,2,0,1, its me hoe its me hoe shhh
323,3,0,3,0,1, in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe
324,3,0,3,0,1, im gonna miss that bitch of a bus driverno you wont dont lie
325,3,0,3,0,1, hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone on my soul
326,3,0,1,2,2, ashley young has tried to deny that bird s landed in his mouth ha
327,3,0,3,0,1, yall both gimped up aint tht a bitch huh lol
328,3,0,1,2,2, take me for a ride woof woof
329,3,1,2,0,1, oh my god i love victoria mitchell all my bitches love me
330,3,0,3,0,1, that long distance shit wack i knew the bitch was cheating uh oh
331,3,0,3,0,1, hes doing it right no bitches smh
332,3,0,3,0,1, they ban dat pussy for life he gotta pay 25 millon dollar fine
333,3,1,2,0,1, roses are red and violets are blue and niggers are black you know thats true 
334,3,0,0,3,2, sitting on my window sill window open bird tries to fly in smacked it 
335,3,0,3,0,1, but a nigga gon be a nigga be a nigga you sound fuckin retarded
336,3,0,0,3,2, a video an entire media will likely mock i am such a crybaby
337,3,0,3,0,1, im not even shy stfu kis mom hi angelique angelique smiles dips cracker in soup
338,3,0,3,0,1, tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh 
339,3,0,3,0,1, karma is a bitch sips tea
340,3,0,3,0,1, fuckin hot gym pussy fuck yeah
341,3,0,0,3,2, jihadi patron hajjaj alajmi is arrested at kuwait airport 
342,3,0,2,1,1, you can call me fireman cause i turn the hoes on
343,3,0,3,0,1, i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
344,3,0,3,0,1, watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
345,3,0,3,0,1, and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded
346,3,0,0,3,2, tweety bird tho 
347,3,0,3,0,1, my pussy sweet like watermelon 
348,3,0,1,2,2, when twitter rappers dm me their trash links 
349,3,0,3,0,1, loud bitches annoy me
350,4,0,4,0,1, eventually every bitch turns into that hoe truuu
351,3,0,3,0,1, i swear if oomf try talking to me tomorrow pussy
352,3,0,3,0,1, you bitches be pretending to be tf crazy you aint never lied
353,4,0,3,1,1, k bye hoe um bye 
354,3,2,1,0,0, jackies a retard at least i can make a grilled cheese
355,3,1,2,0,1, ima keep on giving these pussy ass niggas ah reason to hate 
356,3,0,0,3,2, photo he is in sole heaven
357,3,2,1,0,0, stacey dash won baddest bitch evaa
358,3,0,3,0,1, side bitch sunday 
359,3,0,3,0,1, facts what baldheaded bitch made this shit 
360,3,0,3,0,1, fuck wit us and then we tweakin hoe shmurda
361,3,0,0,3,2, we actin like its the 7th day 
362,3,0,3,0,1, ill break that lil bitch neck and wont even feel sorry about it savage
363,3,0,3,0,1, this is so fucking hot love me some kinky scallies
364,3,1,2,0,1, yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too
365,3,0,3,0,1, i can turn yo bitch into a eaterrrrr
366,3,0,3,0,1, i dont trust dese hoes nikki told 51st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
367,3,0,3,0,1, aye yall ima tryout for the bowling team fr tryouts passed tho no theres two more retard
368,3,0,3,0,1, now u got what u want bitch enjoy it now this is a crazy party i would love to attend
369,3,0,0,3,2, colored contacts in your eyesblinders on minecause i cant see you at all lmao
370,3,0,3,0,1, facts only the dudes with hoes say they dont got hoes 
371,3,0,3,0,1, im rea start smacking bitches period bluffin at its best
372,3,0,3,0,1, lifes a bitch and then you die thats why we get high cause you neva know when youre gonna go my sister is perfect 
373,3,0,3,0,1, one of us is on drugs and its me but youre still wrong hahahah im a bitch sometimes 
374,3,1,2,0,1, im feeling pretty fuckin ghetto smh
375,3,0,0,3,2, swears im man easily easily behind austin nip
376,3,0,3,0,1, this is a true ride or die bitch what the fuck hahah
377,4,0,0,4,2, hgwells and charlie chaplin photography
378,3,0,3,0,1, all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice
379,3,0,3,0,1, im about to cool faggot chill tf is cool nigga
380,3,0,3,0,1, im so sure bitch fr tf
381,3,0,3,0,1, twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
382,3,0,3,0,1, got a couple bitches saying they know me but ima let the money talk for me and im like wwyd
383,3,0,3,0,1, grudges are for weirdosand bitches
384,3,1,0,2,2, i told mariam to but cigarettes for her birthdayyou also called me trash rn
385,3,0,0,3,2, brownies tonight what kind
386,3,0,3,0,1, no text back i dont give a fuck ill text another bitch damn someone is hurt lol
387,6,1,5,0,1, ummm okay you got hoes from left to right do yah thang
388,3,0,3,0,1, using ymxb to find the slope of that ass
389,3,0,0,3,2, fit lads nice gear these scally lads n trainers would get it
390,3,0,3,0,1, hell yeah bro fuck yeah sexy scally lad in hot gear
391,3,0,3,0,1, helping out a mate i love scally play fuck yeah
392,3,0,2,1,1, lads being lads fuck yeah i love scally lad action hot trainers too
393,3,0,3,0,1, next year bitches is gonna be like you gotta promise you wont expose me 
394,3,0,3,0,1, so hot lick it bitch fuck yeah eat that trainer u dirty fucker
395,3,0,3,0,1, yall think celebrity pussy different from the locals yeah meghan goods is
396,6,0,2,4,2, i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it lmaoo
397,3,0,3,0,1, need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks
398,3,1,2,0,1, i dont ever expose females like that thats childish bitch nigga shii
399,3,0,3,0,1, yassstrys new things with bestfriendbitch who do you love
400,3,1,0,2,2, dude rember this wop video omg where did you find that
401,3,0,2,1,1, thick raw fuck damn his man pussy is getting a workout
402,3,0,0,3,2, rawr my sexy french scally i love him sexy scally woof woof
